OWNER_CIK,OWNER_NAME,Weighted_SP500_6M,Weighted_SP500_1Y,Weighted_SP500_18M,Weighted_Sector_6M,Weighted_Sector_1Y,Weighted_Sector_18M,Return_vs_SP500_6M,Return_vs_SP500_1Y,Return_vs_SP500_18M,Return_vs_Sector_6M,Return_vs_Sector_1Y,Return_vs_Sector_18M,Min_Transaction_Value,Avg_Transaction_Value,Max_Transaction_Value,Transaction_Count,Unique_Transaction_Years,Earliest_Transaction_Year,Most_Recent_Transaction_Year,Avg_Days_Between_Transactions,Pct_Positive_vs_SP500_6M,Pct_Positive_vs_SP500_1Y,Pct_Positive_vs_SP500_18M,Pct_Positive_vs_Sector_6M,Pct_Positive_vs_Sector_1Y,Pct_Positive_vs_Sector_18M,Number_of_Companies,Most_Common_Company,Most_Active_Sector,Total_Transaction_Value,Bull_Market_Transactions,Bull_Market_Avg_Return_6M,Bull_Market_vs_SP500_6M,Bull_Market_vs_Sector_6M,Bull_Market_Win_Rate,Bear_Market_Transactions,Bear_Market_Avg_Return_6M,Bear_Market_vs_SP500_6M,Bear_Market_vs_Sector_6M,Bear_Market_Win_Rate,Market_Timing_Score,Most_Common_Company_Market_Cap,Most_Common_Company_Cap_Category,Pct_Mega_Cap_Trades,Pct_Large_Cap_Trades,Pct_Mid_Cap_Trades,Pct_Small_Cap_Trades,Pct_Micro_Cap_Trades,Preferred_Cap_Category,Avg_Market_Cap,Median_Market_Cap
919468,SPO ADVISORY CORP,19%,21%,20%,2%,2%,2%,-19%,-21%,-20%,-2%,-2%,-2%,16205.4,5168750.722,49500000,21,1,2014,2014,1.2,0%,0%,0%,0%,0%,0%,1,EQIX,Real Estate,3735.74,0,0,0,0,0,0,0,0,0,0,0,94701240320,Large Cap,0,100,0,0,0,Large Cap,94701240320,94701240320
928264,MAY PETER W,29%,27%,30%,6%,6%,6%,-29%,-27%,-30%,-6%,-6%,-6%,45536122,45536122,45536122,1,1,2018,2018,0.0,0%,100%,0%,100%,100%,0%,1,MDLZ,Consumer Staples,44.27,0,0,0,0,0,0,0,0,0,0,0,86997917696,Large Cap,0,100,0,0,0,Large Cap,86997917696,86997917696
928265,PELTZ NELSON,25%,27%,29%,6%,6%,6%,-25%,-27%,-29%,-6%,-6%,-6%,48900,12293861.64,33836700,15,4,2015,2020,136.1,13%,13%,0%,47%,27%,27%,2,SYY,Consumer Staples,707.16,0,0,0,0,0,0,0,0,0,0,0,37878435840,Large Cap,0,100,0,0,0,Large Cap,44427700087,37878435840
929607,CONTINENTAL GRAIN CO,30%,31%,30%,6%,6%,6%,-30%,-31%,-30%,-6%,-6%,-6%,758550,4265954.146,12320100,18,2,2018,2019,16.7,0%,0%,0%,0%,22%,0%,1,BG,Consumer Staples,1050.1,0,0,0,0,0,0,0,0,0,0,0,12530127872,Large Cap,0,100,0,0,0,Large Cap,12530127872,12530127872
936567,JOHNSON CHARLES B,59%,59%,59%,8%,8%,8%,-59%,-59%,-59%,-8%,-8%,-8%,2229000,3394500,4560000,2,1,2024,2024,-3.0,0%,0%,0%,0%,0%,0%,1,BEN,Financials,45.09,0,0,0,0,0,0,0,0,0,0,0,11918684160,Large Cap,0,100,0,0,0,Large Cap,11918684160,11918684160
938543,HERSHEY TRUST CO TRUSTEE IN TRUST FOR MILTON HERSHEY SCHOOL,23%,24%,25%,6%,5%,6%,-23%,-24%,-25%,-6%,-5%,-6%,5000020,8651673.333,15925800,3,3,2015,2018,180.0,0%,0%,0%,0%,0%,33%,1,HSY,Consumer Staples,291.42,0,0,0,0,0,0,0,0,0,0,0,35227938816,Large Cap,0,100,0,0,0,Large Cap,35227938816,35227938816
938885,ROGERS JOHN W JR,35%,42%,45%,10%,13%,13%,-35%,-42%,-45%,-10%,-13%,-13%,78610,322718,1029600,5,4,2017,2022,35.3,20%,0%,0%,40%,20%,0%,3,NKE,Consumer Discretionary,483.8543652,0,0,0,0,0,0,0,0,0,0,0,116609000000,Large Cap,20,80,0,0,0,Large Cap,1.20341E+11,1.16609E+11
939485,FLORES JAMES C,20%,21%,23%,3%,3%,3%,-20%,-21%,-23%,-3%,-3%,-3%,408400,5728500,14550000,6,2,2014,2015,18.6,50%,67%,0%,50%,67%,67%,1,FCX,Materials,104.55,0,0,0,0,0,0,0,0,0,0,0,63512309760,Large Cap,0,100,0,0,0,Large Cap,63512309760,63512309760
940314,COOPER MILTON,27%,27%,28%,2%,2%,2%,-27%,-27%,-28%,-2%,-2%,-2%,120350,540175,960000,2,1,2017,2017,-292.0,0%,0%,0%,50%,50%,0%,1,KIM,Real Estate,43.27,0,0,0,0,0,0,0,0,0,0,0,17377806336,Large Cap,0,100,0,0,0,Large Cap,17377806336,17377806336
940911,APERTURE TECHNOLOGIES INC,20%,20%,20%,5%,5%,5%,-20%,-20%,-20%,-5%,-5%,-5%,50000000,50000000,50000000,1,1,2008,2008,0.0,0%,0%,0%,0%,0%,0%,1,EMR,Industrials,50,0,0,0,0,0,0,0,0,0,0,0,75608522752,Large Cap,0,100,0,0,0,Large Cap,75608522752,75608522752
946770,DEUTSCHE TELEKOM AG,29%,28%,29%,2%,2%,2%,-29%,-28%,-29%,-2%,-2%,-2%,7824700,13941601.6,22027750,13,1,2018,2018,1.2,0%,0%,0%,46%,62%,0%,1,TMUS,Communication Services,788.26,0,0,0,0,0,0,0,0,0,0,0,286571000000,Mega Cap,100,0,0,0,0,Mega Cap,2.86571E+11,2.86571E+11
947324,BATCHELDER DAVID H,45%,44%,41%,14%,14%,13%,-45%,-44%,-41%,-14%,-14%,-13%,249076.52,498382.82,747689.12,2,1,2021,2021,0.0,0%,0%,0%,0%,0%,100%,1,LOW,Consumer Discretionary,318.95,0,0,0,0,0,0,0,0,0,0,0,154257000000,Large Cap,0,100,0,0,0,Large Cap,1.54257E+11,1.54257E+11
948279,SF ADVISORY PARTNERS LP,19%,21%,20%,2%,2%,2%,-19%,-21%,-20%,-2%,-2%,-2%,16205.4,5168750.722,49500000,21,1,2014,2014,1.2,0%,0%,0%,0%,0%,0%,1,EQIX,Real Estate,3735.74,0,0,0,0,0,0,0,0,0,0,0,94701240320,Large Cap,0,100,0,0,0,Large Cap,94701240320,94701240320
949509,OAKTREE CAPITAL MANAGEMENT LP,34%,39%,45%,3%,3%,3%,-34%,-39%,-45%,-3%,-3%,-3%,6180000,6180000,6180000,1,1,2020,2020,0.0,0%,0%,0%,0%,0%,0%,1,VST,Utilities,12.36,0,0,0,0,0,0,0,0,0,0,0,54381719552,Large Cap,0,100,0,0,0,Large Cap,54381719552,54381719552
1004554,FARRELL THOMAS F II,28%,29%,31%,3%,3%,3%,-28%,-29%,-31%,-3%,-3%,-3%,253760,253760,253760,1,1,2018,2018,0.0,0%,0%,0%,0%,0%,0%,1,D,Utilities,63.44,0,0,0,0,0,0,0,0,0,0,0,50148589568,Large Cap,0,100,0,0,0,Large Cap,50148589568,50148589568
1005547,NEHRA JOHN M,40%,43%,47%,14%,15%,16%,-40%,-43%,-47%,-14%,-15%,-16%,83550,204218.75,355700,4,2,2020,2022,-256.3,0%,0%,0%,0%,25%,0%,1,DVA,Health Care,321.84,0,0,0,0,0,0,0,0,0,0,0,13629927424,Large Cap,0,100,0,0,0,Large Cap,13629927424,13629927424
1005788,ROLLINS GARY W,28%,27%,29%,6%,6%,6%,-28%,-27%,-29%,-6%,-6%,-6%,99931.2,99931.2,99931.2,1,1,2017,2017,0.0,0%,100%,0%,0%,100%,0%,1,ROL,Industrials,13.58222222,0,0,0,0,0,0,0,0,0,0,0,24777056256,Large Cap,0,100,0,0,0,Large Cap,24777056256,24777056256
1006394,SCHULZE RICHARD M,39%,42%,46%,11%,12%,13%,-39%,-42%,-46%,-11%,-12%,-13%,5064323.84,6633810.747,7705266.8,6,1,2022,2022,0.0,100%,0%,0%,100%,0%,0%,1,BBY,Consumer Discretionary,476.96,0,0,0,0,0,0,0,0,0,0,0,19325249536,Large Cap,0,100,0,0,0,Large Cap,19325249536,19325249536
1007190,GERARD STEVEN L,21%,21%,24%,6%,6%,7%,-21%,-21%,-24%,-6%,-6%,-7%,47950,47950,47950,1,1,2015,2015,0.0,100%,0%,0%,100%,100%,0%,1,LVS,Consumer Discretionary,47.95,0,0,0,0,0,0,0,0,0,0,0,38469877760,Large Cap,0,100,0,0,0,Large Cap,38469877760,38469877760
1007734,KIGHT PETER J,22%,24%,25%,3%,4%,4%,-22%,-24%,-25%,-3%,-4%,-4%,2808,158762.9667,296411.44,6,1,2016,2016,0.0,0%,0%,0%,0%,0%,0%,1,HBAN,Financials,57.05,0,0,0,0,0,0,0,0,0,0,0,26165108736,Large Cap,0,100,0,0,0,Large Cap,26165108736,26165108736
1008463,TAN LIP BU,45%,49%,54%,31%,37%,40%,-45%,-49%,-54%,-31%,-37%,-40%,13780,707548.9425,1511600,8,3,2014,2023,-458.1,0%,0%,0%,0%,0%,0%,2,INTC,Information Technology,202.1,0,0,0,0,0,0,0,0,0,0,0,103728000000,Large Cap,0,100,0,0,0,Large Cap,96384988032,1.03728E+11
1008544,MCCARTHY MICHAEL R,21%,22%,24%,5%,5%,6%,-21%,-22%,-24%,-5%,-5%,-6%,3903000,3903000,3903000,1,1,2015,2015,0.0,0%,0%,0%,0%,0%,0%,1,UNP,Industrials,78.06,0,0,0,0,0,0,0,0,0,0,0,148672000000,Large Cap,0,100,0,0,0,Large Cap,1.48672E+11,1.48672E+11
1010178,TISCH JAMES S,27%,27%,29%,6%,6%,6%,-27%,-27%,-29%,-6%,-6%,-6%,2247500,4012017.857,8955000,14,1,2017,2017,-7.0,0%,0%,0%,0%,93%,0%,1,GE,Industrials,7.16E+46,0,0,0,0,0,0,0,0,0,0,0,197150000000,Large Cap,0,100,0,0,0,Large Cap,1.9715E+11,1.9715E+11
1010267,FLANAGAN MARTIN L,39%,45%,44%,6%,6%,6%,-39%,-45%,-44%,-6%,-6%,-6%,43079.68,1500618.34,2958157,2,1,2020,2020,-1.0,0%,0%,0%,0%,0%,0%,1,IVZ,Financials,20.43,0,0,0,0,0,0,0,0,0,0,0,8130369536,Mid Cap,0,0,100,0,0,Mid Cap,8130369536,8130369536
1010270,JOHNSON JENNIFER M,21%,23%,24%,3%,4%,4%,-21%,-23%,-24%,-3%,-4%,-4%,7507.5,7507.5,7507.5,1,1,2015,2015,0.0,0%,0%,0%,100%,0%,0%,1,BEN,Financials,35.75,0,0,0,0,0,0,0,0,0,0,0,11918684160,Large Cap,0,100,0,0,0,Large Cap,11918684160,11918684160
1012336,KEYSER RICHARD L,44%,47%,52%,31%,33%,38%,-44%,-47%,-52%,-31%,-33%,-38%,61890,155370,248850,2,2,2016,2023,-2716.0,0%,0%,0%,0%,0%,0%,1,ZBRA,Information Technology,310.74,0,0,0,0,0,0,0,0,0,0,0,20993060864,Large Cap,0,100,0,0,0,Large Cap,20993060864,20993060864
1013082,KRONE ROGER A,21%,21%,22%,5%,5%,5%,-21%,-21%,-22%,-5%,-5%,-5%,232500,380475,528450,2,2,2014,2016,-542.0,0%,0%,0%,0%,0%,0%,1,LDOS,Industrials,81.73,0,0,0,0,0,0,0,0,0,0,0,22069817344,Large Cap,0,100,0,0,0,Large Cap,22069817344,22069817344
1013182,GUTHRIE ROY A,24%,26%,27%,4%,4%,4%,-24%,-26%,-27%,-4%,-4%,-4%,230000,262650,295300,2,2,2014,2018,-1460.0,50%,0%,0%,50%,0%,0%,1,SYF,Financials,52.53,0,0,0,0,0,0,0,0,0,0,0,26288504832,Large Cap,0,100,0,0,0,Large Cap,26288504832,26288504832
1013283,BERGSTROM STEPHEN W,33%,35%,37%,5%,5%,4%,-33%,-35%,-37%,-5%,-5%,-4%,199955,294976.25,499130,4,4,2017,2023,331.0,0%,0%,0%,0%,25%,50%,1,WMB,Energy,95.41,0,0,0,0,0,0,0,0,0,0,0,71336468480,Large Cap,0,100,0,0,0,Large Cap,71336468480,71336468480
1013947,MCGARVIE BLYTHE J,22%,24%,25%,6%,7%,7%,-22%,-24%,-25%,-6%,-7%,-7%,90930,90930,90930,1,1,2016,2016,0.0,0%,0%,0%,0%,0%,0%,1,LKQ,Consumer Discretionary,30.31,0,0,0,0,0,0,0,0,0,0,0,10213828608,Large Cap,0,100,0,0,0,Large Cap,10213828608,10213828608
1015014,RALES MITCHELL P,38%,43%,44%,13%,15%,15%,-38%,-43%,-44%,-13%,-15%,-15%,24789,1868675.409,10130083.92,17,5,2018,2022,40.7,29%,0%,0%,18%,0%,12%,1,DHR,Health Care,337.5554098,0,0,0,0,0,0,0,0,0,0,0,173122000000,Large Cap,0,100,0,0,0,Large Cap,1.73122E+11,1.73122E+11
1015221,WOOD E JENNER III,20%,21%,21%,2%,2%,2%,-20%,-21%,-21%,-2%,-2%,-2%,86260,86260,86260,1,1,2014,2014,0.0,0%,0%,0%,0%,0%,0%,1,SO,Utilities,43.13,0,0,0,0,0,0,0,0,0,0,0,98326429696,Large Cap,0,100,0,0,0,Large Cap,98326429696,98326429696
1015827,LANNIE P ANTHONY,33%,41%,43%,2%,4%,4%,-33%,-41%,-43%,-2%,-4%,-4%,187439.98,187439.98,187439.98,1,1,2020,2020,0.0,0%,0%,0%,100%,0%,0%,1,APA,Energy,5.69,0,0,0,0,0,0,0,0,0,0,0,8379299840,Mid Cap,0,0,100,0,0,Mid Cap,8379299840,8379299840
1015844,HOLIDAY EDITH E,27%,28%,31%,4%,4%,4%,-27%,-28%,-31%,-4%,-4%,-4%,25009.16,25036.75833,25079.08,6,6,2015,2020,366.0,17%,17%,0%,67%,67%,50%,1,HES,Energy,325.33,0,0,0,0,0,0,0,0,0,0,0,45348806656,Large Cap,0,100,0,0,0,Large Cap,45348806656,45348806656
1015884,JOYCE RENE R,26%,27%,27%,5%,6%,5%,-26%,-27%,-27%,-5%,-6%,-5%,513800,513800,513800,1,1,2017,2017,0.0,0%,0%,0%,0%,0%,100%,1,APA,Energy,51.38,0,0,0,0,0,0,0,0,0,0,0,8379299840,Mid Cap,0,0,100,0,0,Mid Cap,8379299840,8379299840
1016369,SCHAEFFER LEONARD D,19%,22%,23%,5%,6%,5%,-19%,-22%,-23%,-5%,-6%,-5%,144375,144375,144375,1,1,2015,2015,0.0,100%,0%,0%,100%,0%,0%,1,WBA,Consumer Staples,96.25,0,0,0,0,0,0,0,0,0,0,0,7833428480,Mid Cap,0,0,100,0,0,Mid Cap,7833428480,7833428480
1016648,KASSLING WILLIAM E,33%,35%,41%,7%,7%,8%,-33%,-35%,-41%,-7%,-7%,-8%,503100,503310,503520,2,2,2019,2020,356.0,0%,0%,0%,0%,50%,0%,1,WAB,Industrials,113.25,0,0,0,0,0,0,0,0,0,0,0,34484572160,Large Cap,0,100,0,0,0,Large Cap,34484572160,34484572160
1016844,TAUREL SIDNEY,36%,38%,36%,20%,22%,21%,-36%,-38%,-36%,-20%,-22%,-21%,57510,262400.305,553750,4,2,2018,2020,242.3,0%,0%,0%,0%,0%,0%,1,IBM,Information Technology,103.3328147,0,0,0,0,0,0,0,0,0,0,0,210274000000,Mega Cap,100,0,0,0,0,Mega Cap,2.10274E+11,2.10274E+11
1017081,SPILMAN ROBERT H JR,20%,19%,22%,2%,2%,3%,-20%,-19%,-22%,-2%,-2%,-3%,36900,36900,36900,1,1,2015,2015,0.0,100%,100%,0%,100%,0%,0%,1,D,Utilities,73.8,0,0,0,0,0,0,0,0,0,0,0,50148589568,Large Cap,0,100,0,0,0,Large Cap,50148589568,50148589568
1017427,FLORNESS DANIEL L,36%,40%,44%,8%,8%,9%,-36%,-40%,-44%,-8%,-8%,-9%,47250,114383.3333,192000,3,2,2018,2022,-716.5,33%,0%,0%,0%,0%,33%,1,FAST,Industrials,95.25,0,0,0,0,0,0,0,0,0,0,0,47956336640,Large Cap,0,100,0,0,0,Large Cap,47956336640,47956336640
1017973,EDWARDSON JOHN A,31%,36%,42%,6%,7%,9%,-31%,-36%,-42%,-6%,-7%,-9%,560200,895912.5,1482200,4,2,2019,2020,47.0,75%,0%,0%,75%,50%,0%,1,FDX,Industrials,568.51,0,0,0,0,0,0,0,0,0,0,0,74125393920,Large Cap,0,100,0,0,0,Large Cap,74125393920,74125393920
1018062,EVANS BRUCE R,30%,30%,32%,15%,15%,17%,-30%,-30%,-32%,-15%,-15%,-17%,156.7595,706761.9793,2078000,10,6,2015,2022,175.0,10%,20%,20%,10%,20%,20%,1,ADI,Information Technology,1054.78,0,0,0,0,0,0,0,0,0,0,0,108218000000,Large Cap,0,100,0,0,0,Large Cap,1.08218E+11,1.08218E+11
1018196,VAGT ROBERT F,41%,40%,43%,7%,6%,6%,-41%,-40%,-43%,-7%,-6%,-6%,98040,98040,98040,1,1,2021,2021,0.0,100%,100%,100%,0%,0%,0%,1,KMI,Energy,16.34,0,0,0,0,0,0,0,0,0,0,0,62805762048,Large Cap,0,100,0,0,0,Large Cap,62805762048,62805762048
