ACCESSION_NUMBER,FILING_DATE,PERIOD_OF_REPORT,ISSUERCIK,ISSUERNAME,ISSUERTRADINGSYMBOL,GICS_SECTOR,GICS_SUB_INDUSTRY,OWNER_CIK,OWNER_NAME,OWNER_RELATIONSHIP,SECURITY_TITLE,TRANS_DATE,TRANS_SHARES,TRANS_PRICEPERSHARE,DIRECT_INDIRECT_OWNERSHIP,SHARES_OWNED_FOLLOWING_TRANSACTION,6 Month Price,1 Year Price,18 Month Price,Market Cap
0001140361-14-014863,3/31/2014,3/28/2014,872589,REGENERON PHARMACEUTICALS INC,REGN,Health Care,Biotechnology,1121404,Sanofi,TenPercentOwner,Common Stock,2014-03-28 00:00:00+00:00,19390,303.19,I,19817913,358.17999267578125,454.5,490.6700134277344,82952568832
0001140361-14-014863,3/31/2014,3/28/2014,872589,REGENERON PHARMACEUTICALS INC,REGN,Health Care,Biotechnology,1121404,Sanofi,TenPercentOwner,Common Stock,2014-03-28 00:00:00+00:00,15554,304.28,I,19833467,358.17999267578125,454.5,490.6700134277344,82952568832
0001140361-14-014863,3/31/2014,3/28/2014,872589,REGENERON PHARMACEUTICALS INC,REGN,Health Care,Biotechnology,1121404,Sanofi,TenPercentOwner,Common Stock,2014-03-28 00:00:00+00:00,13778,305.27,I,19847245,358.17999267578125,454.5,490.6700134277344,82952568832
0001140361-14-014863,3/31/2014,3/28/2014,872589,REGENERON PHARMACEUTICALS INC,REGN,Health Care,Biotechnology,1121404,Sanofi,TenPercentOwner,Common Stock,2014-03-28 00:00:00+00:00,20264,306.21,I,19867509,358.17999267578125,454.5,490.6700134277344,82952568832
0001140361-14-014862,3/31/2014,3/27/2014,872589,REGENERON PHARMACEUTICALS INC,REGN,Health Care,Biotechnology,1121404,Sanofi,TenPercentOwner,Common Stock,2014-03-27 00:00:00+00:00,5654,315.44,I,19711045,358.17999267578125,448.3800048828125,490.6700134277344,82952568832
0001140361-14-014862,3/31/2014,3/27/2014,872589,REGENERON PHARMACEUTICALS INC,REGN,Health Care,Biotechnology,1121404,Sanofi,TenPercentOwner,Common Stock,2014-03-27 00:00:00+00:00,16153,314.61,I,19705391,358.17999267578125,448.3800048828125,490.6700134277344,82952568832
0001140361-14-014862,3/31/2014,3/27/2014,872589,REGENERON PHARMACEUTICALS INC,REGN,Health Care,Biotechnology,1121404,Sanofi,TenPercentOwner,Common Stock,2014-03-27 00:00:00+00:00,20470,313.62,I,19689238,358.17999267578125,448.3800048828125,490.6700134277344,82952568832
0001140361-14-014862,3/31/2014,3/27/2014,872589,REGENERON PHARMACEUTICALS INC,REGN,Health Care,Biotechnology,1121404,Sanofi,TenPercentOwner,Common Stock,2014-03-27 00:00:00+00:00,45235,312.56,I,19668768,358.17999267578125,448.3800048828125,490.6700134277344,82952568832
0001140361-14-014862,3/31/2014,3/27/2014,872589,REGENERON PHARMACEUTICALS INC,REGN,Health Care,Biotechnology,1121404,Sanofi,TenPercentOwner,Common Stock,2014-03-27 00:00:00+00:00,49846,311.65,I,19623533,358.17999267578125,448.3800048828125,490.6700134277344,82952568832
0001140361-14-014862,3/31/2014,3/27/2014,872589,REGENERON PHARMACEUTICALS INC,REGN,Health Care,Biotechnology,1121404,Sanofi,TenPercentOwner,Common Stock,2014-03-27 00:00:00+00:00,61030,310.68,I,19573687,358.17999267578125,448.3800048828125,490.6700134277344,82952568832
0001140361-14-014862,3/31/2014,3/27/2014,872589,REGENERON PHARMACEUTICALS INC,REGN,Health Care,Biotechnology,1121404,Sanofi,TenPercentOwner,Common Stock,2014-03-27 00:00:00+00:00,70552,309.79,I,19512657,358.17999267578125,448.3800048828125,490.6700134277344,82952568832
0001140361-14-014862,3/31/2014,3/27/2014,872589,REGENERON PHARMACEUTICALS INC,REGN,Health Care,Biotechnology,1121404,Sanofi,TenPercentOwner,Common Stock,2014-03-27 00:00:00+00:00,19807,308.75,I,19442105,358.17999267578125,448.3800048828125,490.6700134277344,82952568832
0001140361-14-014862,3/31/2014,3/27/2014,872589,REGENERON PHARMACEUTICALS INC,REGN,Health Care,Biotechnology,1121404,Sanofi,TenPercentOwner,Common Stock,2014-03-27 00:00:00+00:00,4869,307.66,I,19422298,358.17999267578125,448.3800048828125,490.6700134277344,82952568832
0001140361-14-014862,3/31/2014,3/27/2014,872589,REGENERON PHARMACEUTICALS INC,REGN,Health Care,Biotechnology,1121404,Sanofi,TenPercentOwner,Common Stock,2014-03-27 00:00:00+00:00,5845,306.53,I,19417429,358.17999267578125,448.3800048828125,490.6700134277344,82952568832
0001140361-14-014862,3/31/2014,3/27/2014,872589,REGENERON PHARMACEUTICALS INC,REGN,Health Care,Biotechnology,1121404,Sanofi,TenPercentOwner,Common Stock,2014-03-27 00:00:00+00:00,100,316.49,I,19711145,358.17999267578125,448.3800048828125,490.6700134277344,82952568832
0001140361-14-014862,3/31/2014,3/27/2014,872589,REGENERON PHARMACEUTICALS INC,REGN,Health Care,Biotechnology,1121404,Sanofi,TenPercentOwner,Common Stock,2014-03-27 00:00:00+00:00,1749,302.96,I,19405949,358.17999267578125,448.3800048828125,490.6700134277344,82952568832
0001140361-14-014862,3/31/2014,3/27/2014,872589,REGENERON PHARMACEUTICALS INC,REGN,Health Care,Biotechnology,1121404,Sanofi,TenPercentOwner,Common Stock,2014-03-27 00:00:00+00:00,5635,305.55,I,19411584,358.17999267578125,448.3800048828125,490.6700134277344,82952568832
0001127602-14-012924,3/28/2014,3/17/2014,1108524,SALESFORCE COM INC,CRM,Information Technology,Application Software,916371,HASSENFELD ALAN G,Director,Common Stock,2014-03-17 00:00:00+00:00,550,58.34,I,1350,57.355377197265625,66.13639068603516,71.56230163574219,3.1549E+11
0001164727-14-000022,3/27/2014,3/26/2014,1164727,NEWMONT MINING CORP /DE/,NEM,Materials,Gold,1575837,Robison Chris J,Officer,"Common Stock, $1.60 par value",2014-03-26 00:00:00+00:00,4494,23.57,D,24504,18.961515426635742,17.87066650390625,13.222187042236328,47860244480
0001209191-14-023163,3/26/2014,3/24/2014,23217,CONAGRA FOODS INC /DE/,CAG,Consumer Staples,Packaged Foods & Meats,1256987,GREGOR JOIE A,Director,Common Stock,2014-03-24 00:00:00+00:00,3300,30.26,D,33017,18.76861000061035,20.133275985717773,22.974273681640625,13148870656
0000797468-14-000012,3/26/2014,3/25/2014,797468,OCCIDENTAL PETROLEUM CORP /DE/,OXY,Energy,Oil & Gas Exploration & Production,1019718,KLESSE WILLIAM R,Director,Common Stock,2014-03-25 00:00:00+00:00,5000,94.7,D,16838,69.00882720947266,53.911354064941406,49.42303466796875,47461388288
0001140361-14-014135,3/25/2014,3/24/2014,872589,REGENERON PHARMACEUTICALS INC,REGN,Health Care,Biotechnology,1121404,Sanofi,TenPercentOwner,Common Stock,2014-03-24 00:00:00+00:00,36778,311.2,I,18757671,357.2200012207031,478.32000732421875,536.5,82952568832
0001140361-14-014135,3/25/2014,3/24/2014,872589,REGENERON PHARMACEUTICALS INC,REGN,Health Care,Biotechnology,1121404,Sanofi,TenPercentOwner,Common Stock,2014-03-24 00:00:00+00:00,17213,312.19,I,18774884,357.2200012207031,478.32000732421875,536.5,82952568832
0001140361-14-014135,3/25/2014,3/24/2014,872589,REGENERON PHARMACEUTICALS INC,REGN,Health Care,Biotechnology,1121404,Sanofi,TenPercentOwner,Common Stock,2014-03-24 00:00:00+00:00,36189,310.23,I,18720893,357.2200012207031,478.32000732421875,536.5,82952568832
0001140361-14-014135,3/25/2014,3/24/2014,872589,REGENERON PHARMACEUTICALS INC,REGN,Health Care,Biotechnology,1121404,Sanofi,TenPercentOwner,Common Stock,2014-03-24 00:00:00+00:00,20627,309.3,I,18684704,357.2200012207031,478.32000732421875,536.5,82952568832
0001140361-14-014135,3/25/2014,3/24/2014,872589,REGENERON PHARMACEUTICALS INC,REGN,Health Care,Biotechnology,1121404,Sanofi,TenPercentOwner,Common Stock,2014-03-24 00:00:00+00:00,24473,308.21,I,18664077,357.2200012207031,478.32000732421875,536.5,82952568832
0001140361-14-014135,3/25/2014,3/24/2014,872589,REGENERON PHARMACEUTICALS INC,REGN,Health Care,Biotechnology,1121404,Sanofi,TenPercentOwner,Common Stock,2014-03-24 00:00:00+00:00,32358,307.17,I,18639604,357.2200012207031,478.32000732421875,536.5,82952568832
0001140361-14-014135,3/25/2014,3/24/2014,872589,REGENERON PHARMACEUTICALS INC,REGN,Health Care,Biotechnology,1121404,Sanofi,TenPercentOwner,Common Stock,2014-03-24 00:00:00+00:00,45101,306.23,I,18607246,357.2200012207031,478.32000732421875,536.5,82952568832
0001140361-14-014135,3/25/2014,3/24/2014,872589,REGENERON PHARMACEUTICALS INC,REGN,Health Care,Biotechnology,1121404,Sanofi,TenPercentOwner,Common Stock,2014-03-24 00:00:00+00:00,39976,305.08,I,18562145,357.2200012207031,478.32000732421875,536.5,82952568832
0001140361-14-014135,3/25/2014,3/24/2014,872589,REGENERON PHARMACEUTICALS INC,REGN,Health Care,Biotechnology,1121404,Sanofi,TenPercentOwner,Common Stock,2014-03-24 00:00:00+00:00,22106,304.35,I,18522169,357.2200012207031,478.32000732421875,536.5,82952568832
0001140361-14-014135,3/25/2014,3/24/2014,872589,REGENERON PHARMACEUTICALS INC,REGN,Health Care,Biotechnology,1121404,Sanofi,TenPercentOwner,Common Stock,2014-03-24 00:00:00+00:00,6592,303.33,I,18500063,357.2200012207031,478.32000732421875,536.5,82952568832
0001140361-14-014135,3/25/2014,3/24/2014,872589,REGENERON PHARMACEUTICALS INC,REGN,Health Care,Biotechnology,1121404,Sanofi,TenPercentOwner,Common Stock,2014-03-24 00:00:00+00:00,1509,302.1,I,18493471,357.2200012207031,478.32000732421875,536.5,82952568832
0001140361-14-014135,3/25/2014,3/24/2014,872589,REGENERON PHARMACEUTICALS INC,REGN,Health Care,Biotechnology,1121404,Sanofi,TenPercentOwner,Common Stock,2014-03-24 00:00:00+00:00,1582,301.24,I,18491962,357.2200012207031,478.32000732421875,536.5,82952568832
0001140361-14-014135,3/25/2014,3/24/2014,872589,REGENERON PHARMACEUTICALS INC,REGN,Health Care,Biotechnology,1121404,Sanofi,TenPercentOwner,Common Stock,2014-03-24 00:00:00+00:00,3988,300.24,I,18490380,357.2200012207031,478.32000732421875,536.5,82952568832
0001140361-14-014135,3/25/2014,3/24/2014,872589,REGENERON PHARMACEUTICALS INC,REGN,Health Care,Biotechnology,1121404,Sanofi,TenPercentOwner,Common Stock,2014-03-24 00:00:00+00:00,3027,299.01,I,18486392,357.2200012207031,478.32000732421875,536.5,82952568832
0001140361-14-014135,3/25/2014,3/24/2014,872589,REGENERON PHARMACEUTICALS INC,REGN,Health Care,Biotechnology,1121404,Sanofi,TenPercentOwner,Common Stock,2014-03-24 00:00:00+00:00,3798,314.22,I,18790310,357.2200012207031,478.32000732421875,536.5,82952568832
0001140361-14-014135,3/25/2014,3/24/2014,872589,REGENERON PHARMACEUTICALS INC,REGN,Health Care,Biotechnology,1121404,Sanofi,TenPercentOwner,Common Stock,2014-03-24 00:00:00+00:00,11628,313.11,I,18786512,357.2200012207031,478.32000732421875,536.5,82952568832
0001140361-14-014134,3/25/2014,3/21/2014,872589,REGENERON PHARMACEUTICALS INC,REGN,Health Care,Biotechnology,1121404,Sanofi,TenPercentOwner,Common Stock,2014-03-21 00:00:00+00:00,5700,316.16,I,18214371,358.9200134277344,488.8699951171875,550.3599853515625,82952568832
0001140361-14-014134,3/25/2014,3/21/2014,872589,REGENERON PHARMACEUTICALS INC,REGN,Health Care,Biotechnology,1121404,Sanofi,TenPercentOwner,Common Stock,2014-03-21 00:00:00+00:00,23644,317.23,I,18238015,358.9200134277344,488.8699951171875,550.3599853515625,82952568832
0001140361-14-014134,3/25/2014,3/21/2014,872589,REGENERON PHARMACEUTICALS INC,REGN,Health Care,Biotechnology,1121404,Sanofi,TenPercentOwner,Common Stock,2014-03-21 00:00:00+00:00,26229,318.36,I,18264244,358.9200134277344,488.8699951171875,550.3599853515625,82952568832
0001140361-14-014134,3/25/2014,3/21/2014,872589,REGENERON PHARMACEUTICALS INC,REGN,Health Care,Biotechnology,1121404,Sanofi,TenPercentOwner,Common Stock,2014-03-21 00:00:00+00:00,37436,319.18,I,18301680,358.9200134277344,488.8699951171875,550.3599853515625,82952568832
0001140361-14-014134,3/25/2014,3/21/2014,872589,REGENERON PHARMACEUTICALS INC,REGN,Health Care,Biotechnology,1121404,Sanofi,TenPercentOwner,Common Stock,2014-03-21 00:00:00+00:00,23411,320.09,I,18325091,358.9200134277344,488.8699951171875,550.3599853515625,82952568832
0001140361-14-014134,3/25/2014,3/21/2014,872589,REGENERON PHARMACEUTICALS INC,REGN,Health Care,Biotechnology,1121404,Sanofi,TenPercentOwner,Common Stock,2014-03-21 00:00:00+00:00,16036,321.23,I,18341127,358.9200134277344,488.8699951171875,550.3599853515625,82952568832
0001140361-14-014134,3/25/2014,3/21/2014,872589,REGENERON PHARMACEUTICALS INC,REGN,Health Care,Biotechnology,1121404,Sanofi,TenPercentOwner,Common Stock,2014-03-21 00:00:00+00:00,21101,322.28,I,18362228,358.9200134277344,488.8699951171875,550.3599853515625,82952568832
0001140361-14-014134,3/25/2014,3/21/2014,872589,REGENERON PHARMACEUTICALS INC,REGN,Health Care,Biotechnology,1121404,Sanofi,TenPercentOwner,Common Stock,2014-03-21 00:00:00+00:00,27688,323.32,I,18389916,358.9200134277344,488.8699951171875,550.3599853515625,82952568832
0001140361-14-014134,3/25/2014,3/21/2014,872589,REGENERON PHARMACEUTICALS INC,REGN,Health Care,Biotechnology,1121404,Sanofi,TenPercentOwner,Common Stock,2014-03-21 00:00:00+00:00,31754,324.09,I,18421670,358.9200134277344,488.8699951171875,550.3599853515625,82952568832
0001140361-14-014134,3/25/2014,3/21/2014,872589,REGENERON PHARMACEUTICALS INC,REGN,Health Care,Biotechnology,1121404,Sanofi,TenPercentOwner,Common Stock,2014-03-21 00:00:00+00:00,14463,315.07,I,18208671,358.9200134277344,488.8699951171875,550.3599853515625,82952568832
0001140361-14-014134,3/25/2014,3/21/2014,872589,REGENERON PHARMACEUTICALS INC,REGN,Health Care,Biotechnology,1121404,Sanofi,TenPercentOwner,Common Stock,2014-03-21 00:00:00+00:00,5024,313.12,I,18183274,358.9200134277344,488.8699951171875,550.3599853515625,82952568832
0001140361-14-014134,3/25/2014,3/21/2014,872589,REGENERON PHARMACEUTICALS INC,REGN,Health Care,Biotechnology,1121404,Sanofi,TenPercentOwner,Common Stock,2014-03-21 00:00:00+00:00,10934,314.21,I,18194208,358.9200134277344,488.8699951171875,550.3599853515625,82952568832
0001140361-14-014134,3/25/2014,3/21/2014,872589,REGENERON PHARMACEUTICALS INC,REGN,Health Care,Biotechnology,1121404,Sanofi,TenPercentOwner,Common Stock,2014-03-21 00:00:00+00:00,25116,325.19,I,18446786,358.9200134277344,488.8699951171875,550.3599853515625,82952568832
0001140361-14-014134,3/25/2014,3/21/2014,872589,REGENERON PHARMACEUTICALS INC,REGN,Health Care,Biotechnology,1121404,Sanofi,TenPercentOwner,Common Stock,2014-03-21 00:00:00+00:00,13905,326.11,I,18460691,358.9200134277344,488.8699951171875,550.3599853515625,82952568832
0001140361-14-014134,3/25/2014,3/21/2014,872589,REGENERON PHARMACEUTICALS INC,REGN,Health Care,Biotechnology,1121404,Sanofi,TenPercentOwner,Common Stock,2014-03-21 00:00:00+00:00,8918,327.04,I,18469609,358.9200134277344,488.8699951171875,550.3599853515625,82952568832
0001140361-14-014134,3/25/2014,3/21/2014,872589,REGENERON PHARMACEUTICALS INC,REGN,Health Care,Biotechnology,1121404,Sanofi,TenPercentOwner,Common Stock,2014-03-21 00:00:00+00:00,7476,328.22,I,18477085,358.9200134277344,488.8699951171875,550.3599853515625,82952568832
0001140361-14-014134,3/25/2014,3/21/2014,872589,REGENERON PHARMACEUTICALS INC,REGN,Health Care,Biotechnology,1121404,Sanofi,TenPercentOwner,Common Stock,2014-03-21 00:00:00+00:00,1749,329.17,I,18478834,358.9200134277344,488.8699951171875,550.3599853515625,82952568832
0001140361-14-014134,3/25/2014,3/21/2014,872589,REGENERON PHARMACEUTICALS INC,REGN,Health Care,Biotechnology,1121404,Sanofi,TenPercentOwner,Common Stock,2014-03-21 00:00:00+00:00,506,330.38,I,18479340,358.9200134277344,488.8699951171875,550.3599853515625,82952568832
0001140361-14-014134,3/25/2014,3/21/2014,872589,REGENERON PHARMACEUTICALS INC,REGN,Health Care,Biotechnology,1121404,Sanofi,TenPercentOwner,Common Stock,2014-03-21 00:00:00+00:00,2110,331.49,I,18481450,358.9200134277344,488.8699951171875,550.3599853515625,82952568832
0001140361-14-014134,3/25/2014,3/21/2014,872589,REGENERON PHARMACEUTICALS INC,REGN,Health Care,Biotechnology,1121404,Sanofi,TenPercentOwner,Common Stock,2014-03-21 00:00:00+00:00,1915,332.78,I,18483365,358.9200134277344,488.8699951171875,550.3599853515625,82952568832
0001209191-14-022901,3/25/2014,3/24/2014,107263,WILLIAMS COMPANIES INC,WMB,Energy,Oil & Gas Storage & Transportation,1540413,Smith Murray D,Director,Common Stock,2014-03-24 00:00:00+00:00,1400,40.81,I,1400,30.776243209838867,27.816984176635742,24.715211868286133,71336468480
0001209191-14-022901,3/25/2014,3/24/2014,107263,WILLIAMS COMPANIES INC,WMB,Energy,Oil & Gas Storage & Transportation,1540413,Smith Murray D,Director,Common Stock,2014-03-24 00:00:00+00:00,2100,40.79,D,12117,30.776243209838867,27.816984176635742,24.715211868286133,71336468480
0001209191-14-022901,3/25/2014,3/24/2014,107263,WILLIAMS COMPANIES INC,WMB,Energy,Oil & Gas Storage & Transportation,1540413,Smith Murray D,Director,Common Stock,2014-03-24 00:00:00+00:00,300,40.78,D,9167,30.776243209838867,27.816984176635742,24.715211868286133,71336468480
0001209191-14-022901,3/25/2014,3/24/2014,107263,WILLIAMS COMPANIES INC,WMB,Energy,Oil & Gas Storage & Transportation,1540413,Smith Murray D,Director,Common Stock,2014-03-24 00:00:00+00:00,850,40.78,D,10017,30.776243209838867,27.816984176635742,24.715211868286133,71336468480
0001181431-14-013798,3/24/2014,3/21/2014,1297996,"Digital Realty Trust, Inc.",DLR,Real Estate,Data Center REITs,1128868,SINGLETON DENNIS E,Director,Common Stock,2014-03-21 00:00:00+00:00,5000,49.97,D,10784,43.22736740112305,48.086341857910156,46.82773208618164,66026000384
0001127602-14-012576,3/24/2014,9/4/2012,313927,CHURCH & DWIGHT CO INC /DE/,CHD,Consumer Staples,Household Products,1295990,Craigie James,"Director,Officer",Common Stock,2012-09-06 00:00:00+00:00,13,55.2,I,1830,26.06616973876953,24.20681381225586,29.422075271606445,27037904896
0001127602-14-012576,3/24/2014,9/4/2012,313927,CHURCH & DWIGHT CO INC /DE/,CHD,Consumer Staples,Household Products,1295990,Craigie James,"Director,Officer",Common Stock,2012-09-05 00:00:00+00:00,917,54.54,I,1817,26.04076385498047,24.629844665527344,29.60318374633789,27037904896
0001127602-14-012576,3/24/2014,9/4/2012,313927,CHURCH & DWIGHT CO INC /DE/,CHD,Consumer Staples,Household Products,1295990,Craigie James,"Director,Officer",Common Stock,2012-09-04 00:00:00+00:00,900,54.73,I,900,25.994186401367188,25.28361701965332,29.37464141845703,27037904896
0001127602-14-012576,3/24/2014,9/4/2012,313927,CHURCH & DWIGHT CO INC /DE/,CHD,Consumer Staples,Household Products,1295990,Craigie James,"Director,Officer",Common Stock,2012-09-04 00:00:00+00:00,900,54.74,I,900,25.994186401367188,25.28361701965332,29.37464141845703,27037904896
0001127602-14-012576,3/24/2014,9/4/2012,313927,CHURCH & DWIGHT CO INC /DE/,CHD,Consumer Staples,Household Products,1295990,Craigie James,"Director,Officer",Common Stock,2012-09-06 00:00:00+00:00,13,55.2,I,1830,26.06616973876953,24.20681381225586,29.422075271606445,27037904896
0001127602-14-012576,3/24/2014,9/4/2012,313927,CHURCH & DWIGHT CO INC /DE/,CHD,Consumer Staples,Household Products,1295990,Craigie James,"Director,Officer",Common Stock,2012-09-05 00:00:00+00:00,917,54.54,I,1817,26.04076385498047,24.629844665527344,29.60318374633789,27037904896
0001181431-14-013715,3/21/2014,3/19/2014,1101239,EQUINIX INC,EQIX,Real Estate,Data Center REITs,1252480,PHOEBE SNOW FOUNDATION,TenPercentOwner,Common Stock,2014-03-21 00:00:00+00:00,38300,181.02,I,5196200,165.3238983154297,190.13803100585938,230.0605010986328,94701240320
0001181431-14-013715,3/21/2014,3/19/2014,1101239,EQUINIX INC,EQIX,Real Estate,Data Center REITs,1046206,SPO PARTNERS II LP,TenPercentOwner,Common Stock,2014-03-21 00:00:00+00:00,38300,181.02,I,5196200,165.3238983154297,190.13803100585938,230.0605010986328,94701240320
0001181431-14-013715,3/21/2014,3/19/2014,1101239,EQUINIX INC,EQIX,Real Estate,Data Center REITs,1252456,SPO ADVISORY PARTNERS LP,TenPercentOwner,Common Stock,2014-03-21 00:00:00+00:00,38300,181.02,I,5196200,165.3238983154297,190.13803100585938,230.0605010986328,94701240320
0001181431-14-013715,3/21/2014,3/19/2014,1101239,EQUINIX INC,EQIX,Real Estate,Data Center REITs,1252458,SAN FRANCISCO PARTNERS LP,TenPercentOwner,Common Stock,2014-03-21 00:00:00+00:00,38300,181.02,I,5196200,165.3238983154297,190.13803100585938,230.0605010986328,94701240320
0001181431-14-013715,3/21/2014,3/19/2014,1101239,EQUINIX INC,EQIX,Real Estate,Data Center REITs,919468,SPO ADVISORY CORP,TenPercentOwner,Common Stock,2014-03-21 00:00:00+00:00,38300,181.02,I,5196200,165.3238983154297,190.13803100585938,230.0605010986328,94701240320
0001181431-14-013715,3/21/2014,3/19/2014,1101239,EQUINIX INC,EQIX,Real Estate,Data Center REITs,1252462,WEINBERG ELI J,TenPercentOwner,Common Stock,2014-03-21 00:00:00+00:00,38300,181.02,I,5196200,165.3238983154297,190.13803100585938,230.0605010986328,94701240320
0001181431-14-013715,3/21/2014,3/19/2014,1101239,EQUINIX INC,EQIX,Real Estate,Data Center REITs,948279,SF ADVISORY PARTNERS LP,TenPercentOwner,Common Stock,2014-03-21 00:00:00+00:00,38300,181.02,I,5196200,165.3238983154297,190.13803100585938,230.0605010986328,94701240320
0001181431-14-013715,3/21/2014,3/19/2014,1101239,EQUINIX INC,EQIX,Real Estate,Data Center REITs,1202553,SCULLY JOHN H,TenPercentOwner,Common Stock,2014-03-21 00:00:00+00:00,38300,181.02,I,5196200,165.3238983154297,190.13803100585938,230.0605010986328,94701240320
0001181431-14-013715,3/21/2014,3/19/2014,1101239,EQUINIX INC,EQIX,Real Estate,Data Center REITs,1252464,MCDERMOTT EDWARD H,TenPercentOwner,Common Stock,2014-03-21 00:00:00+00:00,38300,181.02,I,5196200,165.3238983154297,190.13803100585938,230.0605010986328,94701240320
0001181431-14-013715,3/21/2014,3/19/2014,1101239,EQUINIX INC,EQIX,Real Estate,Data Center REITs,1252480,PHOEBE SNOW FOUNDATION,TenPercentOwner,Common Stock,2014-03-19 00:00:00+00:00,275000,180,I,5157900,166.56300354003906,188.1964874267578,230.06051635742188,94701240320
0001181431-14-013715,3/21/2014,3/19/2014,1101239,EQUINIX INC,EQIX,Real Estate,Data Center REITs,1046206,SPO PARTNERS II LP,TenPercentOwner,Common Stock,2014-03-19 00:00:00+00:00,275000,180,I,5157900,166.56300354003906,188.1964874267578,230.06051635742188,94701240320
0001181431-14-013715,3/21/2014,3/19/2014,1101239,EQUINIX INC,EQIX,Real Estate,Data Center REITs,1252456,SPO ADVISORY PARTNERS LP,TenPercentOwner,Common Stock,2014-03-19 00:00:00+00:00,275000,180,I,5157900,166.56300354003906,188.1964874267578,230.06051635742188,94701240320
0001181431-14-013715,3/21/2014,3/19/2014,1101239,EQUINIX INC,EQIX,Real Estate,Data Center REITs,1252458,SAN FRANCISCO PARTNERS LP,TenPercentOwner,Common Stock,2014-03-19 00:00:00+00:00,275000,180,I,5157900,166.56300354003906,188.1964874267578,230.06051635742188,94701240320
